Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Accessory size (product.metafields.shopify.accessory-size),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Plant class (product.metafields.shopify.plant-class),Shape (product.metafields.shopify.shape),Suitable space (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
elegant-off-white-lid-and-base-box-with-black-gold-foil-logo-premium-gift-packaging,Elegant Off-White Lid and Base Box with Black Gold Foil Logo Premium Gift Packaging,"<p><span>This off-white gift box features black gold foil stamping on premium textured paper. The 155x62x22mm size is perfect for jewelry, cosmetics, or luxury accessories. Crafted with 120g Inspiration Essence Elegant Lotus Cloth Texture paper in ultra-white and reinforced with 1200G single black cardboard, this box delivers exceptional quality and visual appeal. The black gold foil creates a striking contrast against the off-white background for a truly premium look.</span></p>",𝑿𝑨𝑪𝑻𝒁,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping > Gift Boxes & Tins,Lid & Base Gift Box,"box, branded boxes, cosmetic box, cosmetic gift box, Cosmetic packaging, cosmetic packaging box, cosmetic packaging boxes, custom luxury packaging, custom packaging, gift box, Gift packaging, gift packaging box, gold foil packaging, jewelry gift boxes, lid and base boxes, lid and base gift boxes, luxury gift boxes, luxury retail boxes, Packaging, packaging box, perfume box, perfume gift box, Perfume packaging, perfume packaging box, pink cosmetic boxes, pink gift boxes, premium gift packaging, textured paper boxes",true,Title,Default Title,,,,,,,,XLBP-00019,0.0,,0,deny,manual,0.10,,true,true,,,,,XLBP-00019,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantOff-WhiteLidandBaseBoxwithBlackGoldFoilLogoPremiumGiftPackagingXLBP-00019_1.png?v=1762847445,1,"",false,,"Custom off-white gift boxes 155x62x22mm with black gold foil stamping. Premium lotus cloth texture packaging starting at $0.10/piece, 500 piece minimum order.",,,,gold; pink,paper; cardboard,,rectangular,,,lb,,,active
elegant-off-white-lid-and-base-box-with-black-gold-foil-logo-premium-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantOff-WhiteLidandBaseBoxwithBlackGoldFoilLogoPremiumGiftPackagingXLBP-00019_2.png?v=1762847445,2,"",,,,,,,,,,,,,,,,
elegant-off-white-lid-and-base-box-with-black-gold-foil-logo-premium-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantOff-WhiteLidandBaseBoxwithBlackGoldFoilLogoPremiumGiftPackagingXLBP-00019_4.png?v=1762847786,3,"",,,,,,,,,,,,,,,,
elegant-off-white-lid-and-base-box-with-black-gold-foil-logo-premium-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantOff-WhiteLidandBaseBoxwithBlackGoldFoilLogoPremiumGiftPackagingXLBP-00019_3.png?v=1762847786,4,"",,,,,,,,,,,,,,,,
elegant-off-white-lid-and-base-box-with-black-gold-foil-logo-premium-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantOff-WhiteLidandBaseBoxwithBlackGoldFoilLogoPremiumGiftPackagingXLBP-00019_6.png?v=1762847786,5,"",,,,,,,,,,,,,,,,
elegant-off-white-lid-and-base-box-with-black-gold-foil-logo-premium-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantOff-WhiteLidandBaseBoxwithBlackGoldFoilLogoPremiumGiftPackagingXLBP-00019_7.png?v=1762847786,6,"",,,,,,,,,,,,,,,,
elegant-off-white-lid-and-base-box-with-black-gold-foil-logo-premium-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantOff-WhiteLidandBaseBoxwithBlackGoldFoilLogoPremiumGiftPackagingXLBP-00019_5.png?v=1762847786,7,"",,,,,,,,,,,,,,,,
premium-pink-embossed-gold-foil-lid-and-base-gift-packaging,Premium Pink Embossed Gold Foil Lid and Base Gift Packaging,"<p><span>This exquisite pink gift box features embossed gold foil detailing on premium textured paper. The 155x62x22mm size is ideal for jewelry, cosmetics, or small luxury items. Constructed with 120g Pure Brand Inspiration Essence textured paper in pink and reinforced with 1200G single black cardboard, this box combines elegance with durability. The embossed gold foil creates raised, tactile patterns that enhance the premium unboxing experience.</span></p>",𝑿𝑨𝑪𝑻𝒁,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping > Gift Boxes & Tins,Lid & Base Gift Box,"box, branded boxes, cosmetic box, cosmetic gift box, Cosmetic packaging, cosmetic packaging box, cosmetic packaging boxes, custom luxury packaging, custom packaging, gift box, Gift packaging, gift packaging box, gold foil packaging, jewelry gift boxes, lid and base boxes, lid and base gift boxes, luxury gift boxes, luxury retail boxes, Packaging, packaging box, perfume box, perfume gift box, Perfume packaging, perfume packaging box, pink cosmetic boxes, pink gift boxes, premium gift packaging, textured paper boxes",true,Title,Default Title,,,,,,,,XLBP-00018,0.0,,0,deny,manual,0.10,,true,true,,,,,XLBP-00018,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkEmbossedGoldFoilLidandBaseGiftPackagingXLBP-00018_1.png?v=1762740931,1,"",false,,"Custom pink gift boxes 155x62x22mm with embossed gold foil stamping. Premium textured packaging starting at $0.10/piece, 500 piece minimum order.",,,,gold; pink,paper; cardboard,,rectangular,,,lb,,,active
premium-pink-embossed-gold-foil-lid-and-base-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkEmbossedGoldFoilLidandBaseGiftPackagingXLBP-00018_2.png?v=1762740930,2,"",,,,,,,,,,,,,,,,
premium-pink-embossed-gold-foil-lid-and-base-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkEmbossedGoldFoilLidandBaseGiftPackagingXLBP-00018_4.png?v=1762740984,3,"",,,,,,,,,,,,,,,,
premium-pink-embossed-gold-foil-lid-and-base-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkEmbossedGoldFoilLidandBaseGiftPackagingXLBP-00018_3.png?v=1762740984,4,"",,,,,,,,,,,,,,,,
premium-pink-embossed-gold-foil-lid-and-base-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkEmbossedGoldFoilLidandBaseGiftPackagingXLBP-00018_6.png?v=1762740984,5,"",,,,,,,,,,,,,,,,
premium-pink-embossed-gold-foil-lid-and-base-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkEmbossedGoldFoilLidandBaseGiftPackagingXLBP-00018_7.png?v=1762740984,6,"",,,,,,,,,,,,,,,,
premium-pink-embossed-gold-foil-lid-and-base-gift-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkEmbossedGoldFoilLidandBaseGiftPackagingXLBP-00018_5.png?v=1762740984,7,"",,,,,,,,,,,,,,,,
elegant-pink-lid-and-base-box-with-embossed-gold-foil,Elegant Pink Lid and Base Box with Embossed Gold Foil,"<p><span>This pink gift box showcases embossed gold foil detailing on premium textured paper. The 155x62x22mm dimensions make it perfect for jewelry, beauty products, or luxury accessories. Crafted with 120g Pure Brand Inspiration Essence textured paper in pink and reinforced with 1200G single black cardboard, this box delivers exceptional durability and visual appeal. The embossed gold foil creates raised patterns that add tactile luxury to the unboxing experience.</span></p>",𝑿𝑨𝑪𝑻𝒁,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping > Gift Boxes & Tins,Lid & Base Gift Box,"box, branded boxes, cosmetic box, cosmetic gift box, Cosmetic packaging, cosmetic packaging box, cosmetic packaging boxes, custom luxury packaging, custom packaging, gift box, Gift packaging, gift packaging box, gold foil packaging, jewelry gift boxes, lid and base boxes, lid and base gift boxes, luxury gift boxes, luxury retail boxes, Packaging, packaging box, perfume box, perfume gift box, Perfume packaging, perfume packaging box, pink cosmetic boxes, pink gift boxes, premium gift packaging, textured paper boxes",true,Title,Default Title,,,,,,,,XLBP-00017,0.0,,0,deny,manual,0.10,,true,true,,,,,XLBP-00017,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantPinkLidandBaseBoxwithEmbossedGoldFoilXLBP-00017_1.png?v=1762740618,1,"",false,,"Custom pink gift boxes 155x62x22mm with gold foil stamping. Premium textured packaging starting at $0.10/piece, 500 piece minimum order.",,,,gold; pink,paper; cardboard,,rectangular,,,lb,,,active
elegant-pink-lid-and-base-box-with-embossed-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantPinkLidandBaseBoxwithEmbossedGoldFoilXLBP-00017_2.png?v=1762740619,2,"",,,,,,,,,,,,,,,,
elegant-pink-lid-and-base-box-with-embossed-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantPinkLidandBaseBoxwithEmbossedGoldFoilXLBP-00017_4.png?v=1762740744,3,"",,,,,,,,,,,,,,,,
elegant-pink-lid-and-base-box-with-embossed-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantPinkLidandBaseBoxwithEmbossedGoldFoilXLBP-00017_3.png?v=1762740744,4,"",,,,,,,,,,,,,,,,
elegant-pink-lid-and-base-box-with-embossed-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantPinkLidandBaseBoxwithEmbossedGoldFoilXLBP-00017_6.png?v=1762740744,5,"",,,,,,,,,,,,,,,,
elegant-pink-lid-and-base-box-with-embossed-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantPinkLidandBaseBoxwithEmbossedGoldFoilXLBP-00017_7.png?v=1762740744,6,"",,,,,,,,,,,,,,,,
elegant-pink-lid-and-base-box-with-embossed-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/ElegantPinkLidandBaseBoxwithEmbossedGoldFoilXLBP-00017_5.png?v=1762740744,7,"",,,,,,,,,,,,,,,,
premium-pink-lid-and-base-box-with-gold-foil,Premium Pink Lid and Base Box with Gold Foil,"<p><span>This compact pink gift box features gold foil stamping on high-quality textured paper. The 155x62x22mm size works perfectly for cosmetics, or small luxury items. Built with 120g pink textured paper and reinforced with thick 1200G black cardboard, this box gives you both style and strength. The gold foil catches light beautifully and adds that premium touch your customers expect.</span></p>",𝑿𝑨𝑪𝑻𝒁,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping > Gift Boxes & Tins,Lid & Base Gift Box,"box, branded boxes, cosmetic box, cosmetic gift box, Cosmetic packaging, cosmetic packaging box, cosmetic packaging boxes, custom luxury packaging, custom packaging, gift box, Gift packaging, gift packaging box, gold foil packaging, jewelry gift boxes, lid and base boxes, lid and base gift boxes, luxury gift boxes, luxury retail boxes, Packaging, packaging box, perfume box, perfume gift box, Perfume packaging, perfume packaging box, pink cosmetic boxes, pink gift boxes, premium gift packaging, textured paper boxes",true,Title,Default Title,,,,,,,,XLBP-00016,0.0,,0,deny,manual,0.10,,true,true,,,,,XLBP-00016,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkLidandBaseBoxwithGoldFoilXLBP-00016_1.png?v=1762739735,1,"",false,,"Custom pink gift boxes 155x62x22mm with gold foil stamping. Premium textured packaging starting at $0.10/piece, 500 piece minimum order.",,,,gold; pink,paper; cardboard,,rectangular,,,lb,,,active
premium-pink-lid-and-base-box-with-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkLidandBaseBoxwithGoldFoilXLBP-00016_2.png?v=1762739735,2,"",,,,,,,,,,,,,,,,
premium-pink-lid-and-base-box-with-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkLidandBaseBoxwithGoldFoilXLBP-00016_4.png?v=1762739735,3,"",,,,,,,,,,,,,,,,
premium-pink-lid-and-base-box-with-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkLidandBaseBoxwithGoldFoilXLBP-00016_3.png?v=1762739735,4,"",,,,,,,,,,,,,,,,
premium-pink-lid-and-base-box-with-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkLidandBaseBoxwithGoldFoilXLBP-00016_6.png?v=1762739735,5,"",,,,,,,,,,,,,,,,
premium-pink-lid-and-base-box-with-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkLidandBaseBoxwithGoldFoilXLBP-00016_7.png?v=1762739735,6,"",,,,,,,,,,,,,,,,
premium-pink-lid-and-base-box-with-gold-foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0727/3614/5573/files/PremiumPinkLidandBaseBoxwithGoldFoilXLBP-00016_5.png?v=1762739735,7,"",,,,,,,,,,,,,,,,
